%Datos para crear un modelo de reconocimiento de actividades fisicas. 
%Orden supuesto: CHEST ACCX MEAN, ACCY MEAN ACCZ MEAN ACCX STD ACCY STD ACCZ STD ACCX MAX...LC ACCX MEAN... RLA....
%Orden real: 
@relation activities

%CHEST
@attribute chestAccXmean numeric
@attribute chestAccYmean numeric
@attribute chestAccZmean numeric
@attribute chestAccXstd numeric
@attribute chestAccYstd numeric
@attribute chestAccZstd numeric
@attribute chestAccXmax numeric
@attribute chestAccYmax numeric
@attribute chestAccZmax numeric
@attribute chestAccXmin numeric
@attribute chestAccYmin numeric
@attribute chestAccZmin numeric

%LC
@attribute lcAccXmean numeric
@attribute lcAccYmean numeric
@attribute lcAccZmean numeric
@attribute lcAccXstd numeric
@attribute lcAccYstd numeric
@attribute lcAccZstd numeric
@attribute lcAccXmax numeric
@attribute lcAccYmax numeric
@attribute lcAccZmax numeric
@attribute lcAccXmin numeric
@attribute lcAccYmin numeric
@attribute lcAccZmin numeric

%RLA
@attribute rlaAccXmean numeric
@attribute rlaAccYmean numeric
@attribute rlaAccZmean numeric
@attribute rlaAccXstd numeric
@attribute rlaAccYstd numeric
@attribute rlaAccZstd numeric
@attribute rlaAccXmax numeric
@attribute rlaAccYmax numeric
@attribute rlaAccZmax numeric
@attribute rlaAccXmin numeric
@attribute rlaAccYmin numeric
@attribute rlaAccZmin numeric

%CLASS ATTRIBUTE
@attribute activity {1,2,3,4,5,6,7,8,9,10,11,12}

@data
-9.7229,0.20214,0.8022,0.13721,0.1407,0.15635,-9.1065,0.69219,1.1975,-10.039,-0.085462,0.44857,2.399,-9.5343,0.45791,0.10768,0.10338,0.10043,2.6634,-9.2129,0.76847,2.1507,-9.7682,0.22172,-2.8548,-9.1578,1.7324,0.1048,0.1035,0.11121,-2.5823,-8.9017,2.0668,-3.1087,-9.4535,1.4767,1
-9.7584,0.23042,0.85985,0.14326,0.14065,0.16125,-9.3725,0.58919,1.3479,-10.117,-0.16512,0.45475,2.3632,-9.5166,0.4754,0.10889,0.097346,0.092414,2.6227,-9.1535,0.67597,1.9976,-9.7174,0.19441,-2.8936,-9.1335,1.7623,0.10956,0.097894,0.10023,-2.5828,-8.8917,2.0614,-3.178,-9.3314,1.4812,1
-9.7323,0.2043,0.84429,0.1286,0.14729,0.12834,-9.3312,0.60054,1.113,-10.006,-0.11471,0.4574,2.4128,-9.511,0.46484,0.09609,0.095466,0.10002,2.6622,-9.2331,0.65303,2.1316,-9.7176,0.18913,-2.9229,-9.1101,1.7597,0.14952,0.10618,0.10202,-2.5602,-8.842,2.046,-3.4133,-9.4541,1.4996,1
-9.7554,0.24834,0.78386,0.1214,0.14599,0.12398,-9.3337,0.75182,1.0372,-10.033,-0.021788,0.45013,2.4047,-9.5111,0.46271,0.097263,0.10651,0.11023,2.6129,-9.2031,0.74547,2.1599,-9.7091,0.15249,-2.8745,-9.1514,1.6924,0.10119,0.10265,0.11129,-2.5878,-8.9148,2.0148,-3.1093,-9.4238,1.3498,1
-9.7557,0.27513,0.76811,0.12552,0.13567,0.14348,-9.4584,0.66073,1.0386,-10.143,-0.054396,0.30473,2.391,-9.5426,0.42872,0.10796,0.10537,0.12376,2.6732,-9.2133,0.70365,2.1816,-9.789,0.16218,-2.9514,-9.1354,1.6566,0.11312,0.10287,0.10837,-2.6776,-8.8531,1.978,-3.2689,-9.3735,1.3611,1
-9.7319,0.31234,0.77455,0.12193,0.12321,0.16022,-9.4184,0.63776,1.1164,-10.151,0.060087,0.41896,2.3606,-9.5373,0.41807,0.099697,0.10427,0.11084,2.6027,-9.2335,0.80207,2.0993,-9.7594,0.18072,-2.9899,-9.1403,1.6205,0.11208,0.1009,0.10548,-2.7,-8.8724,1.9815,-3.3296,-9.3536,1.3889,1
-9.7375,0.33382,0.81033,0.14171,0.14841,0.15005,-9.357,0.81272,1.1937,-10.059,-0.044567,0.38708,2.3552,-9.5495,0.39024,0.11176,0.10882,0.11436,2.6205,-9.3602,0.61743,1.9898,-9.908,0.065199,-2.9773,-9.1225,1.6177,0.10967,0.10034,0.10759,-2.5808,-8.8743,1.8967,-3.2331,-9.365,1.3959,1
-9.757,0.3093,0.86561,0.13828,0.13313,0.12934,-9.2256,0.75037,1.1865,-10.005,0.017898,0.44529,2.3995,-9.526,0.40227,0.10012,0.095157,0.090126,2.7001,-9.2618,0.63108,2.1288,-9.7587,0.18994,-3.0182,-9.112,1.6645,0.11002,0.10379,0.11098,-2.8068,-8.8226,1.908,-3.2886,-9.3962,1.3844,1
-9.731,0.33389,0.79919,0.11565,0.12388,0.15071,-9.4733,0.64262,1.1836,-9.9631,0.087943,0.44778,2.3751,-9.5413,0.4031,0.1307,0.09745,0.093843,2.8151,-9.3022,0.60526,2.0893,-9.7483,0.099274,-3.0224,-9.1308,1.6228,0.10424,0.10745,0.096437,-2.7328,-8.8043,1.8222,-3.3484,-9.4332,1.3438,1
-9.7229,0.37277,0.85078,0.14152,0.13317,0.1312,-9.3632,0.79839,1.1924,-10.097,-0.072734,0.50005,2.317,-9.5907,0.37768,0.096211,0.10371,0.11035,2.5379,-9.1927,0.65514,2.0688,-9.838,0.010759,-3.0377,-9.1297,1.5859,0.098254,0.10649,0.10608,-2.8396,-8.7638,1.8708,-3.2512,-9.3749,1.1815,1
-9.7436,0.37075,0.89374,0.14386,0.13449,0.16649,-9.3025,0.68938,1.4829,-10.063,-0.095012,0.60437,2.3537,-9.5357,0.41859,0.088904,0.11515,0.10377,2.5989,-9.2914,0.74056,2.1612,-9.9066,0.19905,-3.0643,-9.089,1.6467,0.11109,0.098537,0.10429,-2.7694,-8.8435,1.8912,-3.2878,-9.2965,1.3477,1
-9.7399,0.30842,0.89143,0.14248,0.15677,0.1367,-9.2138,0.69948,1.1934,-9.9962,-0.27511,0.59566,2.4117,-9.5283,0.41004,0.10417,0.088138,0.096458,2.6826,-9.313,0.70723,2.1406,-9.768,0.16848,-3.0394,-9.1026,1.6574,0.098538,0.10617,0.10794,-2.8098,-8.8332,1.9552,-3.3345,-9.3226,1.4053,1
-9.7337,0.33939,0.95985,0.13524,0.15499,0.1514,-9.2192,0.75867,1.3307,-10.104,-0.047506,0.5368,2.3934,-9.5129,0.48947,0.10819,0.10326,0.092096,2.6516,-9.1628,0.67363,2.0374,-9.816,0.20387,-3.101,-9.0935,1.6871,0.10799,0.10327,0.10917,-2.8571,-8.8039,1.9438,-3.3489,-9.313,1.4004,1
-9.7239,0.32278,1.0958,0.10428,0.15532,0.13318,-9.4664,0.73894,1.3543,-10.038,-0.12638,0.65348,2.4086,-9.5466,0.52357,0.099166,0.097374,0.095745,2.6297,-9.3507,0.767,2.0714,-9.7861,0.2664,-3.149,-9.0539,1.7117,0.10632,0.11399,0.10645,-2.8537,-8.8029,1.929,-3.3964,-9.393,1.4589,1
-9.7495,0.36789,0.89637,0.12969,0.12117,0.13247,-9.4217,0.6607,1.1835,-10.135,0.084907,0.51601,2.3996,-9.5258,0.43639,0.11647,0.091521,0.10023,2.713,-9.2712,0.7357,2.0891,-9.7965,0.016858,-3.068,-9.0927,1.6489,0.15247,0.10248,0.097889,-2.65,-8.9018,1.8594,-3.4788,-9.4251,1.4118,1
-9.7367,0.35351,0.95111,0.12569,0.13249,0.15224,-9.4197,0.72962,1.3598,-9.9925,0.074043,0.58134,2.4175,-9.5305,0.47218,0.12694,0.11353,0.10171,2.6904,-9.1228,0.72869,2.0469,-10.017,0.15203,-3.0952,-9.0941,1.6438,0.097407,0.10768,0.1097,-2.8988,-8.8532,2.0704,-3.3624,-9.3539,1.2808,1
-9.7301,0.335,0.9867,0.15523,0.15426,0.14903,-9.2957,0.75918,1.2831,-10.112,-0.16527,0.48988,2.4175,-9.5229,0.45602,0.11999,0.10467,0.10329,2.6811,-9.2716,0.70514,2.0889,-9.8856,0.048912,-3.0951,-9.0864,1.6462,0.12651,0.09834,0.1041,-2.7775,-8.8535,1.9418,-3.3553,-9.3357,1.429,1
-9.7202,0.38988,0.99474,0.14214,0.15401,0.16586,-9.4219,0.76161,1.2994,-10.237,0.007611,0.59263,2.398,-9.5324,0.46239,0.09589,0.10019,0.093151,2.6413,-9.3113,0.69776,2.1502,-9.8289,0.2643,-3.1063,-9.1124,1.6503,0.11379,0.11108,0.090121,-2.8798,-8.883,1.9483,-3.3521,-9.3439,1.444,1
-9.7412,0.39699,1.0348,0.13108,0.13713,0.14798,-9.4233,0.69963,1.4118,-10.281,0.09495,0.6372,2.4039,-9.5348,0.49297,0.097929,0.10264,0.098162,2.6214,-9.2818,0.7017,2.1186,-9.8477,0.24053,-3.1048,-9.0647,1.6637,0.097317,0.10756,0.089216,-2.8641,-8.6832,1.8957,-3.4671,-9.2925,1.4787,1
-9.7054,0.4039,1.0828,0.14885,0.13884,0.15724,-9.313,0.90272,1.3927,-10.031,0.0044735,0.54535,2.3817,-9.5101,0.51553,0.1093,0.10514,0.10331,2.5904,-9.1054,0.92381,1.9684,-9.7767,0.27016,-3.17,-9.0731,1.6508,0.11135,0.10718,0.10427,-2.6697,-8.7335,2.0942,-3.5033,-9.2937,1.3839,1
-9.7292,0.4115,1.1511,0.13277,0.14459,0.12803,-9.3823,0.81826,1.5065,-10.009,-0.036396,0.81149,2.3814,-9.5215,0.52149,0.10382,0.1098,0.10961,2.6731,-9.28,0.73751,2.1507,-9.7978,0.15175,-3.1834,-9.0546,1.6458,0.1128,0.10675,0.099959,-2.8863,-8.7738,1.981,-3.53,-9.313,1.4341,1
-9.7286,0.40402,1.0675,0.1241,0.1529,0.14811,-9.2626,0.84308,1.4901,-9.9925,0.10309,0.69052,2.3627,-9.5274,0.49027,0.11414,0.10184,0.095283,2.6095,-9.2616,0.75404,1.9555,-9.7588,0.25549,-3.1452,-9.0621,1.6335,0.11728,0.10862,0.10159,-2.7776,-8.7927,1.8257,-3.4553,-9.3953,1.4008,1
-9.6964,0.38391,0.98213,0.13819,0.13915,0.1465,-9.3242,0.78074,1.3418,-10.119,0.057004,0.61866,2.3546,-9.5329,0.43222,0.099377,0.11168,0.10917,2.6427,-9.2821,0.74087,2.118,-9.7879,0.13124,-3.0764,-9.1194,1.6071,0.16758,0.1067,0.12801,-2.7173,-8.794,1.9541,-3.5061,-9.373,1.2559,1
-9.7322,0.43772,1.0018,0.14083,0.15358,0.16194,-9.2909,0.86237,1.4118,-10.003,0.066123,0.60425,2.3372,-9.546,0.42628,0.1077,0.12149,0.092162,2.5814,-9.2721,0.60834,2.0386,-9.948,0.18529,-3.089,-9.0851,1.6109,0.11445,0.10697,0.10538,-2.8151,-8.8537,1.8396,-3.3759,-9.3551,1.3508,1
-9.7154,0.41462,1.0909,0.12742,0.14184,0.1457,-9.3191,0.94966,1.4429,-10.132,0.15682,0.70885,2.379,-9.5159,0.48703,0.097994,0.10184,0.10173,2.6295,-9.1817,0.74832,2.1618,-9.8362,0.17984,-3.1511,-9.0695,1.6635,0.1075,0.10117,0.10731,-2.9269,-8.783,1.9304,-3.4396,-9.3051,1.4073,1
-9.7255,0.37275,1.1479,0.14435,0.13114,0.16424,-9.1617,0.68693,1.5366,-10.007,-0.024657,0.61016,2.3753,-9.5091,0.49703,0.11386,0.11213,0.10344,2.7221,-9.2503,0.7232,2.0782,-9.7954,0.24148,-3.1034,-9.0914,1.664,0.10811,0.11524,0.10398,-2.8133,-8.7343,1.9259,-3.3275,-9.3531,1.3879,1
-9.7096,0.4096,1.0338,0.14513,0.13397,0.16063,-9.1311,0.8217,1.5817,-10.02,0.052992,0.50041,2.3638,-9.5436,0.49233,0.1022,0.10639,0.1098,2.5679,-9.3204,0.84201,2.098,-9.9366,0.19442,-3.1231,-9.082,1.6425,0.10162,0.10178,0.098234,-2.8889,-8.853,1.8947,-3.3278,-9.3343,1.3789,1
-9.7247,0.40794,1.0365,0.12091,0.14908,0.17414,-9.3929,0.94034,1.4984,-10.079,0.066674,0.61156,2.3623,-9.5238,0.4642,0.10801,0.091174,0.10029,2.66,-9.3424,0.69674,2.0604,-9.7878,0.22305,-3.1226,-9.0979,1.613,0.13806,0.11834,0.12456,-2.7648,-8.8529,1.9423,-3.5723,-9.384,1.2485,1
-9.7136,0.39595,1.087,0.13391,0.1218,0.14055,-9.3405,0.75964,1.5004,-10.048,0.11579,0.79612,2.3808,-9.5051,0.5317,0.095835,0.099056,0.11272,2.6935,-9.2042,0.88494,2.1714,-9.7577,0.22022,-3.116,-9.075,1.6609,0.095423,0.091206,0.1087,-2.8955,-8.842,1.9587,-3.3519,-9.2637,1.3195,1
-9.7153,0.35482,1.099,0.14663,0.13719,0.12143,-9.3417,0.64814,1.328,-10.045,0.014777,0.70566,2.4082,-9.5023,0.52721,0.095057,0.10976,0.088979,2.6611,-9.2516,0.76215,2.1804,-9.7571,0.26799,-3.1276,-9.0524,1.7108,0.11224,0.085687,0.10565,-2.8285,-8.7521,1.9924,-3.5542,-9.251,1.4679,1
-9.7201,-0.039202,0.90442,0.15333,0.14749,0.15485,-9.3277,0.3041,1.332,-9.9896,-0.57216,0.55226,0.55061,-9.7455,0.85749,0.10493,0.10615,0.10282,0.81895,-9.5248,1.0786,0.25949,-9.9912,0.55583,-3.0687,-8.9645,2.139,0.10044,0.10957,0.10637,-2.8652,-8.6985,2.386,-3.3264,-9.2196,1.7935,1
-9.7362,-0.0018413,0.8955,0.14188,0.12153,0.15125,-9.3723,0.31934,1.2357,-10.189,-0.29452,0.37394,0.54022,-9.7479,0.86697,0.094571,0.087573,0.1157,0.79908,-9.4964,1.2068,0.35053,-9.9339,0.47048,-3.0712,-8.9631,2.1821,0.12799,0.10607,0.099191,-2.7472,-8.6878,2.4635,-3.3651,-9.1689,1.8818,1
-9.7207,-0.0092721,0.93116,0.14114,0.11701,0.14792,-9.3355,0.29779,1.3106,-10.082,-0.26771,0.51871,0.54225,-9.7221,0.86552,0.099916,0.099993,0.095744,0.74094,-9.4672,1.1541,0.32717,-9.9215,0.63546,-3.0705,-8.9579,2.1407,0.090662,0.11235,0.10911,-2.7797,-8.739,2.3727,-3.3646,-9.2278,1.8788,1
-9.7117,-0.029656,0.87917,0.15575,0.13963,0.15979,-9.2464,0.29522,1.2287,-10.102,-0.37449,0.4011,0.55984,-9.7135,0.90289,0.092583,0.099775,0.096027,0.80072,-9.4458,1.1563,0.35066,-9.9523,0.60488,-3.1106,-8.9485,2.1771,0.092019,0.11227,0.097413,-2.8162,-8.6597,2.4561,-3.3492,-9.2481,1.9593,1
-9.7284,0.020046,0.92296,0.18703,0.15464,0.17044,-9.3537,0.49025,1.3288,-10.495,-0.44951,0.47533,0.51606,-9.7361,0.92328,0.097357,0.10023,0.097958,0.84208,-9.455,1.1628,0.27898,-9.9722,0.67668,-3.1454,-8.9559,2.1087,0.093115,0.1027,0.12736,-2.8855,-8.7083,2.4133,-3.3351,-9.2076,1.7731,1
-9.7065,0.063194,1.037,0.13065,0.13271,0.15248,-9.3754,0.43925,1.4094,-10.155,-0.27899,0.43095,0.53946,-9.7344,0.8947,0.096581,0.10781,0.10335,0.79309,-9.505,1.3513,0.19674,-9.9727,0.65199,-3.1547,-8.9701,2.0594,0.10614,0.12955,0.10426,-2.9271,-8.6492,2.3062,-3.4421,-9.2491,1.735,1
-9.7172,0.052842,1.0117,0.14805,0.15214,0.15356,-9.3627,0.58627,1.4906,-10.085,-0.30571,0.67775,0.54915,-9.7308,0.88691,0.093672,0.097497,0.099022,0.74843,-9.3969,1.1063,0.34104,-9.9525,0.5963,-3.0999,-8.9693,2.0617,0.11149,0.10064,0.11134,-2.7622,-8.7316,2.3712,-3.4272,-9.1598,1.791,1
-9.7208,0.031938,0.98915,0.14748,0.15465,0.14291,-9.1806,0.37916,1.4196,-10.025,-0.29764,0.69067,0.54718,-9.7287,0.92192,0.10266,0.097075,0.087932,0.82218,-9.476,1.1492,0.31162,-9.9832,0.69335,-3.0907,-8.9751,2.0897,0.10301,0.11431,0.11041,-2.8248,-8.6995,2.3121,-3.2821,-9.3292,1.8391,1
